iteration;max_coeff;min_coeff;constant;LB;UB;med1;med2;med3;med4;med5
129;-35.21;-225.26;1206.16;742.67;796.3;25;34;47;48;49
130;-42.0;-190.16;1272.84;742.67;799.72;15;31;38;45;48
131;-34.96;-229.21;1227.76;743.33;805.0;25;28;29;41;48
132;-34.26;-181.05;1227.83;743.38;773.93;26;28;41;45;48
133;-45.0;-160.0;1313.83;743.67;778.5;3;10;28;38;48
134;-11.0;-408.3;1281.65;743.69;895.84;7;21;28;33;38
135;-46.0;-169.75;1292.17;743.78;802.08;13;15;25;35;36
136;-46.0;-175.73;1207.59;743.85;745.64;15;20;38;46;48
137;-49.96;-174.44;1190.34;743.95;754.95;20;26;28;35;46
138;-45.0;-154.0;1253.74;744.05;763.2;12;20;27;28;38
139;-29.1;-166.05;1203.1;744.33;781.36;26;28;34;47;48
140;-6.38;-331.53;1180.78;744.89;825.42;33;34;38;48;49
141;-34.0;-188.65;1206.65;745.27;792.69;15;23;35;38;46
142;-38.21;-168.64;1136.34;745.33;776.72;15;26;35;36;46
143;-;-;-;745.64;745.64;15;20;38;46;48
144;-;-;-;745.64;753.0;15;20;38;46;48
145;-;-;-;745.68;805.0;17;24;29;38;48
146;-;-;-;745.79;766.0;20;24;26;46;48
147;-;-;-;745.89;839.0;25;33;34;48;49
148;-;-;-;746.02;810.0;23;28;38;47;48
149;-;-;-;746.33;791.0;28;34;38;47;48
150;-;-;-;746.4;754.0;15;36;38;46;48
151;-;-;-;746.49;775.0;28;38;39;45;48
152;-;-;-;746.64;754.0;15;20;25;46;48
153;-;-;-;746.68;806.0;17;24;25;29;48
154;-;-;-;746.68;806.0;17;28;29;38;48
155;-;-;-;746.79;767.0;20;26;28;46;48
156;-;-;-;746.86;842.0;23;28;33;38;48
157;-;-;-;747.05;760.0;12;15;36;38;48
158;-;-;-;747.33;776.0;25;28;39;45;48
159;-;-;-;747.33;803.0;28;37;41;45;48
160;-;-;-;747.33;790.0;24;34;38;47;48
161;-;-;-;747.4;755.0;15;25;36;46;48
162;-;-;-;747.42;803.0;11;26;28;35;41
163;-;-;-;747.44;790.0;13;20;28;35;38
164;-;-;-;747.45;811.0;23;25;28;47;48
165;-;-;-;747.54;755.0;20;28;35;38;46
166;-;-;-;747.67;785.0;15;34;38;47;48
167;-;-;-;747.67;799.0;28;34;35;38;47
168;-;-;-;747.67;819.0;26;28;33;34;35
169;-;-;-;747.68;807.0;17;25;28;29;48
170;-;-;-;747.69;774.0;24;38;39;45;48
171;-;-;-;747.79;800.0;15;20;30;38;41
172;-;-;-;747.86;843.0;23;25;28;33;48
173;-;-;-;747.86;841.0;23;24;33;38;48
174;-;-;-;747.98;779.0;20;38;41;48;49
175;-;-;-;748.0;819.0;15;26;33;34;48
176;-;-;-;748.05;761.0;12;15;25;36;48
177;-;-;-;748.08;790.0;13;23;28;35;38
178;-;-;-;748.26;751.0;15;20;38;39;48
179;-;-;-;748.28;801.0;15;20;25;30;41
180;-;-;-;748.33;814.0;28;29;38;47;48
181;-;-;-;748.33;809.0;24;37;41;45;48
182;-;-;-;748.42;804.0;11;24;26;35;41
183;-;-;-;748.44;791.0;13;20;25;28;35
184;-;-;-;748.44;791.0;13;20;24;35;38
185;-;-;-;748.54;756.0;20;24;35;38;46
186;-;-;-;748.54;756.0;20;25;28;35;46
187;-;-;-;748.67;806.0;28;35;37;41;45
188;-;-;-;748.67;826.0;24;26;33;34;35
189;-;-;-;748.67;874.0;25;33;34;35;49
190;-;-;-;748.67;804.0;15;37;41;45;48
191;-;-;-;748.67;800.0;24;34;35;38;47
192;-;-;-;748.68;811.0;24;31;36;38;48
193;-;-;-;748.69;773.0;36;38;46;48;49
194;-;-;-;748.69;775.0;24;25;39;45;48
195;-;-;-;748.85;759.0;20;28;38;46;48
196;-;-;-;748.86;842.0;23;24;25;33;48
197;-;-;-;748.98;780.0;20;25;41;48;49
198;-;-;-;749.0;850.0;15;26;33;34;35
199;-;-;-;749.06;822.0;16;20;28;38;41
200;-;-;-;749.08;791.0;13;23;24;35;38
201;-;-;-;749.08;791.0;13;23;25;28;35
202;-;-;-;749.17;923.0;3;16;28;38;40
203;-;-;-;749.26;752.0;15;20;25;39;48
204;-;-;-;749.27;843.0;23;28;31;38;48
205;-;-;-;749.31;756.0;28;35;36;38;46
206;-;-;-;749.33;813.0;24;29;38;47;48
207;-;-;-;749.33;817.0;25;28;29;47;48
208;-;-;-;749.33;873.0;26;33;34;35;49
209;-;-;-;749.33;826.0;25;28;33;34;48
210;-;-;-;749.37;924.0;5;16;20;24;38
211;-;-;-;749.44;792.0;13;20;24;25;35
212;-;-;-;749.54;757.0;20;24;25;35;46
213;-;-;-;749.59;905.0;3;10;28;39;48
214;-;-;-;749.67;810.0;24;35;37;41;45
215;-;-;-;749.68;863.0;3;15;34;35;38
216;-;-;-;749.68;812.0;28;31;36;38;48
217;-;-;-;749.68;812.0;24;25;31;36;48
218;-;-;-;749.69;774.0;25;36;46;48;49
219;-;-;-;749.76;805.0;15;23;25;47;48
220;-;-;-;749.79;774.0;15;26;36;41;48
221;-;-;-;749.82;929.0;3;16;24;38;40
222;-;-;-;749.82;924.0;3;16;25;28;40
223;-;-;-;749.85;760.0;20;25;28;46;48
224;-;-;-;749.85;758.0;20;24;38;46;48
225;-;-;-;749.91;760.0;15;20;38;41;48
226;-;-;-;749.94;785.0;3;13;28;38;48
227;-;-;-;750.0;782.0;7;20;26;28;46
228;-;-;-;750.06;819.0;16;20;24;38;41
229;-;-;-;750.06;823.0;16;20;25;28;41
230;-;-;-;750.08;792.0;13;23;24;25;35
231;-;-;-;750.27;844.0;23;25;28;31;48
232;-;-;-;750.31;757.0;25;28;35;36;46
233;-;-;-;750.31;766.0;15;36;38;41;48
234;-;-;-;750.31;757.0;24;35;36;38;46
