iteration;max_coeff;min_coeff;constant;LB;UB;med1;med2;med3;med4;med5
126;-53.0;-162.46;1287.08;754.0;831.38;5;27;38;45;46
127;-32.58;-242.2;1224.46;739.53;812.22;23;24;35;38;47
128;-32.58;-220.45;1218.38;740.67;807.76;11;24;35;38;47
129;-21.35;-175.97;1237.77;749.45;803.24;10;17;28;38;48
130;-56.56;-147.0;1255.42;762.11;770.75;10;15;27;36;38
131;-55.0;-153.0;1214.79;729.75;757.53;28;36;38;39;48
132;-36.26;-153.0;1235.89;742.72;772.74;24;38;45;46;48
133;-21.05;-160.58;1158.85;737.0;750.91;15;20;38;41;48
134;-55.0;-173.35;1282.67;751.17;805.65;7;13;15;23;38
135;-62.69;-153.0;1253.76;759.44;794.84;10;23;26;27;28
136;-30.0;-219.31;1190.62;736.35;813.54;15;23;35;38;41
137;-19.95;-215.88;1118.76;748.0;773.6;7;15;26;36;41
138;-32.63;-147.0;1137.0;740.53;745.64;15;20;38;46;48
139;-49.53;-147.0;1176.63;739.26;766.26;11;15;38;39;48
140;-40.77;-153.0;1246.62;750.21;778.92;28;34;38;39;48
141;-57.0;-154.42;1251.79;770.08;820.6;3;7;13;26;28
142;-33.01;-210.68;1178.26;741.0;768.68;15;36;38;47;48
143;-6.79;-206.11;1176.91;769.18;822.87;15;17;38;39;48
144;-17.21;-154.0;1196.47;737.75;775.42;7;12;20;28;38
145;-3.05;-180.02;1192.77;742.0;806.36;24;34;35;37;41
146;-3.18;-187.6;1202.89;752.78;808.53;26;28;29;35;47
147;-57.0;-160.0;1339.0;775.78;821.0;13;28;35;38;45
148;-41.0;-174.0;1205.92;787.56;837.54;20;32;35;38;46
149;-36.32;-211.64;1182.13;744.31;752.68;15;36;38;41;48
150;-32.0;-273.0;1222.0;763.73;849.0;3;15;35;38;41
151;-11.0;-368.18;1362.82;793.74;1061.53;24;25;38;46;48
152;-25.0;-175.0;1260.11;802.21;866.37;12;21;28;36;48
153;-26.63;-175.0;1227.66;745.92;750.64;20;24;38;46;48
154;-33.96;-169.0;1214.0;753.38;766.39;15;27;36;38;46
155;-24.63;-169.0;1215.06;745.64;745.64;15;20;38;46;48
